CLOUD,Targets,Transporters,Enzymes,Carriers
CLOUD110,148;147;146;81033;90134;150;151;152;3064,3757;5243;6580;60482,5243;1544;1557;1559;1565;1576,5243;6580
CLOUD111,10242,,1576;1576;1577;1555;1555;1559;1557;1557;1565;1565,
CLOUD112,3065;3066;8841;10013;55869;3458;81027;9734;51053;10376;9611;9612;79885;10382;10383;8856;5914;10014;9759;7846;7849;79915;4780;2737;2099;2101;84790;84617;1080;55775;203068;4286;7157;112714;4194;10381;347733;2395;2908;83933;4193;1636;390245;51564;7277;367;7280;347688;9970;190,,1576,
CLOUD113,367;2737;554;4780;3791;1233;2099;2100;2101;9971;3577;2534,5243,1595;1577;1551;1576;1576;1565;1555;1543;1571;5243,5243
CLOUD114,3815;3815;5979;4914;1436;5156;780;25;5159;640;768;771;5894;763;7297;51086;2322;2580;1432;27;3055;673;147746;2268;79837;1195;9263;57396;3356;4921;6714;55775;51776;6850;3654;1956;2444;3274;3791;23632;4088;23097;57551;3932;5599;5601;5602;4067;11238;2534;9833;7525;2810;10733;613;2139;766;1487;760;761;762;765;2046;6916,6580;6580;5243;5243;6582;9429;9429;21;213;6532;146802;6581;55244,1576;1576;1577;1577;1551;1551;1544;1559;1559;1565;1565;1557;5742;5243;5243;55244;4835;759,6580;6580;5243;5243;6582;213;5004;55244
CLOUD115,1786;29128;8202;7066;7157;672;2597;79915;4780;2737;2101;2100;4286;580;8648;5914;4088;2516;216;2908;55775;4193;4194;3043;6097;51053;367;9971;2494;3064;1788,,978;1588;3417;5621,
CLOUD116,1134;1140;1144;1146;1145;1135;1136;1137;1138;8973;1139;55584;57053;1141;1142;1143;196,,43;590;1576;1565,
CLOUD117,7150;116447;3458;1132;152;55775;4312,54658;6581;10599;4363;9429;5243;1244;213;55244;146802;6580;6582,1576;1576;1577;1555;1551;54658;54600;1066;8824;590;5243;43;55244,10599;5243;213;55244;6580;6582
CLOUD118,3274,5243,590;5243,5243
CLOUD119,2280;2281;2475;367;2289;8856;5530;23450;55775,5243;5243;5243;23461;213;10599,1551;1577;1576;1576;5243;5243;5243,5243;5243;5243;213;5004;10599
CLOUD120,,6573,,6573
CLOUD121,51185;7124;4790;2263;5999;6000;85397;2775;1080;9978,5243,5743;1557;1557;1543;1571;1559;5742;5743;1577;1544;5243,5004;5243
CLOUD122,10846;5141;1827;58497;10411;11069;5143;5136;5137;5138;5139;5140;5142;5144;5145;5146;5147;7068;5150;5151;5153;5158;5148;79915;4780;5149;2737;1813;7134;64127;8767;7201;9817;247;3276;2770;7251;7253;472;2648;54106;55775;7137;7139;7398;57192;5347;27115;51053;1393;6002;1395;7157;3320;1812;50940;2101;3326,10257;10057;5243;5243;222962;6582;55244;2030,100;8654;5243;5243;1557;1559;1565;1576;55244;2030,5004;5243;5243;6582;55244
CLOUD123,1181,,873,
CLOUD124,153;154;140;155,5243,5243,5243
CLOUD125,148;150;3269;3274;152;151;134864;146;147,,,
CLOUD126,1812;3357;3362;1814;3356;7421;1813;150;151;216;3354;5999;3355;3358,,1576;1576;1565,
CLOUD127,3758;5972,,5742,
CLOUD128,573971,,1719;1719;1557;1565;1544;1559;1571;1576,
CLOUD129,3039;135;2741;3458;55775;65975,5243;3757,1576;1576;590;1588;1565;43;5243,5243
CLOUD130,196;3725;2099;5914,,1576;1576;1565,
CLOUD131,,,,
CLOUD132,3458;55847;4137,6261,1576;1544;1557;1559;1565,
CLOUD133,148;147;153;154;150;151;146;152;155;7124;3091;1813;2597;4137;2475;4780;2101;2237;23632;7253;55775;51426;1812;762;7421,6582;6582;6580;6580;6584,5053;6647;1544;1559;1576;759,6582;6582;6580;6580
CLOUD134,3356;3358;3350;3269;148;150;1814;10280;152;146;1812;151;2648;3357,6532;5243,1576;1577;1551;1565;5243,5243;5004
CLOUD135,,5243,4129;4128;5243,5243
CLOUD136,367;196;8856;4780;2737;2099;2101;5241;2395;55775,,1576;1544;1544;1543;1545;1545;1557;1577,
CLOUD137,1135,,1576,
CLOUD138,1814,,100,
CLOUD139,81027;596;4133;4134;4137;8856;3458;367;9970;2099;7157;5914;55775;2908;2101,5243;89845;28234;10864;9429;1244;4363,1576;1576;1577;1551;1545;1545;1545;5243;28234,5243
CLOUD140,,476,,476
CLOUD141,4137;4864;23576;2194;9367;5914;2671;162466;29994;4780;2101;5305;5999;196;4170;3276;5347;55775;496;9970;5468;7421,495;5243;5243;9429;476,1576;1576;1576;1557;1557;1559;1559;1559;1543;1544;1545;1562;1558;1558;1565;1579;5243;5243;486;246,5243;5243;476;477;478;480;481;482;483;486
CLOUD142,367;196;8856;13;5914;3362;4780;3630;2737;2099;2101;2100;3778;6097;55775;6256;9970,5243,1576;1544;1544;1543;1545;1545;1557;1577;1559;1588;8824;5243,5243
CLOUD143,1131;7846;10383;10383;3458;3717;9734;2831;3354;9971;2847;79915;688;2737;2099;2101;65975;351;203068;196;5914;5468;55775;51053;367;9970;3315;7157;7421,5243,1576;1543;1544;1544;1544;5243,5243
CLOUD144,573971;2737;10951;367;6256,5243;5243,7298;1719;1559;1559;1576;1558;1558;5243;5243;1544;1557;1565,5243;5243
CLOUD145,6335;6328;6336;768;771;11238;377677;23632;760;761;762;763;765;766;6323,,759,
CLOUD146,3106,54658;8714;4363;1244;213,130;54658;132,213
CLOUD147,5739;5731;5141;5142;5143;5144;5327;11251,11309;6578;28232,,11309
CLOUD148,5564;53632;5571;5562;5563;5565;51422,6580;6580;6582;6582;6581;55244;222962;146802,55244;1803,6580;6580;6582;6582;55244
CLOUD149,6331;6335;1132;3676;6329,3757,1576;1565,
CLOUD150,2932;3612;3613;2892,,,
CLOUD151,2099;2101,,1576;1544;1557;64816;1577;1551,
CLOUD152,7846;203068;51174;7283;51175;3725;3458;81027;10376;84617;10381;10382;10383;347688;84790;65975;112714;347733;7277;7280;6916,5243;5243;5243;4363;4363;4363;1244;1244;1244;368;8647;8647;28234;10599,1576;1576;1565;1565;5243;5243;5243;28234,5243;5243;5243;10599
CLOUD153,1814,,,
CLOUD154,,29881;54658;5243;1244;10599;64240;8714;9429;64241,6646;290;1558;54658;54659;7366;7364;1576;5243,5243;10599
CLOUD155,6326;134;135;148;150;153;1812;1813;2554;2554;3269;4986;1128;3356;3359;361;6335;6328;6329;6331;6323,777;54658;54658;5243,54657;1719;54659;54658;54658;5243;1544;1559;1576;1565;1557,5243
CLOUD156,7153,,1544,
CLOUD157,3777;51305,,1565,
CLOUD158,140;4780;3725;2737;2099;2100;2101;367,,1565;1559;1557,
CLOUD159,8972;8972;2548;23193;2595;6476;259249;187,,279,
CLOUD160,23569;7941;5778;156;2099;2100;4170;3320;598;2150;3064;5499;3326,9356;9376;9376;55867;10864;213,5621;1576;1576;9356;9376;9376;1544;1557;1559;1565;9446;6647,213
CLOUD161,60489;3676,,,
CLOUD162,,,1373,
CLOUD163,6833;5468;27345;3767,10257;6566;6564;6565;9356;213,1559;1576;1577;1551;5742;54600;1565;9356;1544;1557,213;5004
CLOUD164,26986;3205,,1576,
CLOUD165,3614;3615;3458;2099;2101;65975;6606;6607;5468;6622;55775;4193;4194;367;9970;7157,54658,54658;54600;7364;54577;54578;1544,
CLOUD166,3785;3786;1645;5594,9356;53919,5742;5743;240;9356;8644,8644;7276;1646;2169
CLOUD167,79001,213,1558;1559;1576,213;5004
CLOUD168,5468;1147;3551;7398;834;2597;4170;51426;3248;23569;2099;598;3676;7421;7941,,5743;5742;240;4353;9446;1576;1557;2744,
CLOUD169,2230;2099;5241;367;140;405;150;8856;5914;3357;3362;10460;4780;2737;2100;2101;3777;6097;7253;59350;472;2908;9970;7157,6530;6531;6532;3757,1584;1576;1583,6462;866
CLOUD170,216;7458;1813,54658,1595;1559;1559;1576;1576;1558;54658,
CLOUD171,196;5914,213;5243,1558;1544;1576;1557;1576;1571;1571;1571;1559;1544;1565;1557;10;1548;1558;4353;5243,213;5243
CLOUD172,1509;6916,5243;5243;4363,1576;1576;1555;1557;1558;1559;1565;1577;5243;5243,5243;5243
CLOUD173,672;196;23173;9734;79915;10988;3630;6607;6256;2280;9970;2099;2101;5914,,1544;1544;1543,
CLOUD174,4864;10242;9734;3315;23569;1812;1813;4137;79915;4780;5021;2737;2099;2101;389816;387129;7157;3778;5315;196;3784;5914;6607;7253;59350;231;367;9970;55283;3061;7421,6573;6531;57468,1576;1588,6573
CLOUD175,7173;3779;2099;1733,,4353;1621;1544;1557;1559;1565,
CLOUD176,3614;3615;22978;5167;5167,2030;64078,132;132;2030,
CLOUD177,3091,153201,1644,
CLOUD178,3614;3615;22978;5167;5167;367;6097;3576;9970;2099;2101;7157;216;55775,2030;64078,132;132;2030,
CLOUD179,6240;760;768;763;50484,,1565;2744,
CLOUD180,3767;760;3778;6559;6833;3764,476;5243,759;2752;1544;5243;1565,476;5243
CLOUD181,6331;8856;6323,,1557;1557;1555;1544;1565;1558;1559,
CLOUD182,367;5335;2357,,1544,
CLOUD183,,,1588;1576;7498;5743;590,
CLOUD184,2554;6323;2897;760;762;2554;761;768;770;771;377677;23632;11238;361;6256;766;763;765;55879;2892;2901,,759;1557;1576,
CLOUD185,,,,
CLOUD186,150;641;6955;54414;11168;7329;2597;29994;10951;5423;2100;5305;2237;11201;10054;10055;29128;54737;216;55775;51426;390245;51053;5999;839;4351;151;1956;2534,6564;5243,1644;1312;1544;1557;1559;1565;1576;249;5243,5243
CLOUD187,4048;2053;4321;241;9970;1241;4313;5468,213,240;1559;1544;1544;1576;5742;54600;1565;1557,213
CLOUD188,2554;2561;2566;10951,5243,1557;5243,5243
CLOUD189,781;9254;774;134;2902;2550;9568,775,586,
CLOUD190,3242,,,
CLOUD191,367;2100;1843;2101,9376;10864,7498;316;7498;9376;1544;1576;3251;1557;1559;1565,
CLOUD192,760;762;771;23632;761;766;358;768;770;377677;4313;4321;11238;361;763;765,9356,759;1576;9356,
CLOUD193,30814;6401;9734;9970;3725;1814;154;51099;10663;4137;4780;2737;2101;440503;1080;4286;3777;3553;3064;1235;59350;54106;8795;55775;4193;4194;5347;3172;6311;367;2034;7157;4088;8767;7421;64127,9356;213,9356;1576,213
CLOUD194,1147;30814,,5743;240;4353,
CLOUD195,2099;2100;4780;367;2737;3315;7157;5914;2908;2101,,3283;3284,
CLOUD196,2475;2280;367;2099;55775;2908,,1576;1588,
CLOUD197,,,,
CLOUD198,3269;148;1128;3358;3357;146;10280;5725,6532;5243;5243;6531;6531;6530;6530;6532;6532;3757;6580,1576;1557;1557;1565;1565;1571;1544;1555;5243;5243,5243;5243;6580
CLOUD199,3458;776;778;779,3757;3757;775,1565;1565;1576;1577;1558,
CLOUD200,2554;151;2554;2560;2561;2562;2563;2564;2565;2566;55879;2567;2559;2555;2556;2557;2558;2568,6513,1584;1585;1588;1544;1576,6513
CLOUD201,1813;1814,6531;6531,1557;1576;1577;1544;1555;1559,
CLOUD202,7054,,1544;1576;1557;1559;1565,
CLOUD203,1723,9429,1558,
CLOUD204,3269;1128;1129;3274;1131;1132;1133;10280;146;150;151;3356;3358,6530;6531;6532,,
CLOUD205,1956;2050;23043;2046;27148;2064;2065;2066;2051;2580;25;27;285220;4137;558;9263;2099;2100;2101;6714;8767;23621;3654;1613;4215;9748;7294;640;23683;388228;6793;5260;5261;5914;673;5292;2737;23235;196;3791;5753;2268;1760;3815;9448;80122;25865;2322;2324;9262;8986;147746;5597;817;818;4233;2872;415116;50488;5979;3932;7525;11113;51053;367;85366;8569;81788;2444;3984;2042;1432;1453;1454;11183;51135;11200;85443;10188;11213;5587;4780;4058;5596;79837;84446;5601;5602;4067;5607;3055;51701;2041;10746;2044;1022;2047;3718,5243;5243;9429;9429;213,1577;1576;1565;1543;1543;1559;1557;5243;5243,5243;5243;213;5004
CLOUD206,1909;1910;8856;2737;2101,8647,1576;1576;1559;1559,
CLOUD207,4953;4953,,,
CLOUD208,,9356;9376,1800;9356;9376,
CLOUD209,5422;6240;3458;4780;367;2737;9970;2099;7157;55775;2101;50484,9429,1633;1588,
CLOUD210,,54658,1595;1559;1559;1576;1576;1558;54658,
CLOUD211,3784;3753;5914;1230,54658,54658,
CLOUD212,5465;5468,,1571;2939;1576;1576;1543;1548;1555;1579;1579;1565,
CLOUD213,3778;1813;3783,5243,1571;1571;1543;1544;1548;1576;1576;1565;5243;4846;4843,5243
CLOUD214,367;5468;2100;5467;2908;7421,,,
CLOUD215,196;9734;79915;367;2737;9970;2101;5914,,7498,
CLOUD216,,,,
CLOUD217,2915;6335;10951;6323,213,1066;1571;1576,213
CLOUD218,1723;3725;4193;4194;5467;2099;4780;51053;367;7157;196;2101;55775,,1559,
CLOUD219,673;5894;2324;3791;2322;5159;3815;2260;5979;2321;1024;2048;2050;2051;2053;8711;5128;27148;23043;9748;25;27;285220;65061;9344;558;6195;6198;23097;6714;3643;8767;51776;51265;6725;3654;6732;2146;5218;613;7272;640;6790;6793;6795;5777;51347;6300;91807;1195;9212;140469;27330;3362;57551;2261;2263;5156;2268;10461;6885;9448;80122;8444;204851;780;3458;3350;3356;3357;3358;3361;147746;3363;3718;8999;816;4914;4915;4916;2872;4921;28996;50488;5603;3932;7010;7525;11113;51053;85366;8569;890;8576;10114;7048;2444;51086;3984;3985;1432;225689;1436;7075;1956;1445;1452;11183;11184;1969;65975;1022;1017;5594;5595;1018;55775;5600;5601;4067;5604;2534;5607;1020;10733;3055;4593;51701;2041;2042;2043;2044;2045;2046;2047,54658;9429;9429;10257;5243;5243;1244;10928,1559;1577;1551;1576;1576;1555;1555;1558;1558;1544;1557;1565;54600;54600;54658;5243;5243,5243;5243
CLOUD220,,,,
CLOUD221,10242;3725;5914;4780;2099;2101;387129;3778;3779;8912;27345;2100;2908;7253;55775;367;3315,54658;213;8714;4363;1244;9429;5243,1557;1559;1555;1555;1555;1576;1576;1576;1577;1577;1551;1551;1544;1565;1558;54658;1588;5243,213;5243
CLOUD222,846;51053;2741;55775,,1576;1565;1544,
CLOUD223,7357;57704;6476;8972;178;2548;23193,,,
CLOUD224,3249;8698,19,1066;246,
CLOUD225,2737;4780;216;7157,,2936;1544;1576;1557;1559;1565,
CLOUD226,2554;2555;2556;2557;2558;2559;1137;1139;2891;2898;2554;3064;1813;367;55879;6323,54658,1557;1557;1559;1576;1544;1555;1558;54658,
CLOUD227,4321;760;5914;4322;55775,,,
CLOUD228,,,,
CLOUD229,8856;3276;3248;2357;216;3676;7421,1244;4363;116085;8714;10257;10057;368;4363;1244;1244;5243,1559;1559;1576;1576;1576;1555;1558;5243,2169;5243
CLOUD230,5465;5468,213,5743;5742,213
CLOUD231,3458;3320;3326,9356;9376;55867;9429;213,9356;9376,213
CLOUD232,2815;3783;3458;6323;6326;6328,6582;6580;6580;6584;5243;5243;6579;6583;222962,1577;1544;1544;1544;1558;1558;1559;1559;1557;1557;1571;1551;1543;1543;1576;1576;1576;1565;1565;5243;5243,6582;6580;6580;5243;5243
CLOUD233,6286;55775;3205,6580;9356;9376;10864,9356;9376,6580
CLOUD234,2321;3791;2324;5156;5159;3815;2261;3702;2246;10019;23043;5127;27148;2051;2580;25;27;8737;5467;5468;8711;4140;2099;2101;6714;8767;728642;6725;3654;150094;93;7272;5747;4214;5753;7294;640;7297;3717;6790;6793;6795;6850;4751;658;51347;673;341676;2737;5298;2241;2242;23235;196;4293;4294;4296;57551;2260;2263;2264;2268;10461;55589;9448;238;5871;9970;9971;80122;9344;5894;780;6416;2322;3718;8491;4233;4921;55775;22848;57172;8536;5979;3932;7010;23396;7525;367;85366;8576;7048;2444;9748;3984;3985;3480;1436;7075;11183;11184;7157;10188;11213;6098;984;4058;79837;5599;5601;5602;4067;55781;2534;5607;5608;5610;10733;3055;51701;10746;9212;1022,5243;9429;10599;54658,1576;1576;1565;1565;1558;1544;5243;54658;43,5243;10599
CLOUD235,6323;6326;6328;6329;6331;6335;11280;6324;6327;55800;6330;8912;760;761;762;763;11238;765;766;767;768;56934;770;771;377677;23632;317,8913;8911;54658,759;4129;4128;1576;316;1557;54658,
CLOUD236,3123,,,
CLOUD237,7150;10013;9734;8841;3458;51564;79885;55869;3065;3066;83933;10014;9759,54658;9429,54658,
CLOUD238,2099;7201;5871,,1576,
CLOUD239,2904;116443;2903;1812;116444,,1576;1576;1557;1571;1559;1544;1565,
CLOUD240,3758;3767,213,873,213
CLOUD241,760;762;766;761;768;771;1080;377677;23632;11238;763;765,5243,759;1559;5243,5243
CLOUD242,126,,124;125;847;1571;1548,
CLOUD243,1723;196;2185;9734;1812;1813;9367;836;5914;79915;4780;2737;2099;2101;190;26054;6607;123228;55775;4323;9970;3315;3064;57337,9429;6530;6531,1559;1559;1544;1576,
CLOUD244,24145;50833;2099;771;367;760;768,9356;55867;9376;6582;6580;8714;10257;10057;9194;6584;368;4363;6579;6566;6554;9356;387775;9376;1244;1244;85320;55867;53919;10864;116085;56606;213,9356;9376;1559;1557;1558;1576;9356;9376,6582;6580;213
CLOUD245,10242;2099;2100,,7498;316;1544;1576;1557;1559;1565,
CLOUD246,2550;9568;4780;4790;140,9376;5243,9376;5243,5243
CLOUD247,5465;3725;1072;2099;7157;983,,1571;2939;1576;1576;1543;1548;1555;1579;1579;1544;1565;1557,
CLOUD248,338442;29994,,7498;316;1544;1576,
CLOUD249,9734;18;36;4967;6323;3066;5465;5467;5468;10013;8841;51564;79885;55869;3065;83933;10014;9759,54658;54658;9356;6584;9376;9376;6566;10864;213,7915;1548;1548;1555;1559;1559;1577;5742;1544;1562;1557;1557;1558;1576;1576;54657;54576;54575;54578;54659;7364;7366;54600;54658;54658;9356;9376;9376;1565,213
CLOUD250,4137;51426;7398,1317;1318;538;540;9429;1244,6647;7498;4353;2952;4489;4502;2950;2944;1728,
CLOUD251,134;135;136;5142;5141;5139;3066;8904;81502;23420;142;79608;26140;6256;107;140;2099;5914;5143;5140;9373,10864,8654;1576;1544;1544;100;100;1571;1543;1543;1545;1558;1559;1565;248;249,
CLOUD252,,,,
CLOUD253,5340,6565;5243,5243,5243
CLOUD254,2562;6256;2737;5914;2099,,1565;1588,
CLOUD255,25824;3551;2908;150;1815;1814;151;140;2534,213,,213
CLOUD256,1812;1813;3357;1128;1129;3458;7157,5243,590;5243;1544;1565,5243
CLOUD257,3350;1813,5243,1576;1577;1551;1565;5243,5243
CLOUD258,10060;3767,5243,1576;5243,5243
CLOUD259,,,1571,
CLOUD260,116443;1139;1813;1137;1136;10280;2902;2903;2904;2905;2906;116444,6582;6580;55244,1644;4129;55244,6582;6580;55244
CLOUD261,57053;1139;1128;1129;1131,,590,
CLOUD262,3350;1813;146;147;148;3356;3357;3358;10280;4780;2737;2099;2101;1814;216;367,5243;3757;6582;55244;146802,1576;1577;1551;1565;5243;55244,5243;6582;55244
CLOUD263,8912,,1557,
CLOUD264,6869;6870,,1576;1576;1577;1577;1551;1551;1544;1557;1557;1559;1559,
CLOUD265,,9356;6566,9356;759,
CLOUD266,,6530,4843,
CLOUD267,1137;1139;1136;8973;1141;1135;1143,,,
