Drug,NumberInteractions,NumberIncreasing,NumberDecreasing,NumberEmergent,Filtered,All,Filtered_MsigD_BP,Filtered_MsigD_MF,Filtered_Msig_ChemGen_Perturbation,Filtered_MsigD_CC,Filtered_MsigD_KeGG,All_MsigD_BP,All_MsigD_MF,All_Msig_ChemGen_Perturbation,All_MsigD_CC,All_MsigD_KeGG,Filtered_AvgDegree,All_AvgDegree,Filtered_AvgClustering,All_AvgClustering,Filtered_Disease,All_Disease,KeGG_Indirect,KeGG_Direct,SideEffects_TwoSide_CLOUDs.gml,SideEffects_CLOUD_to_Offsides,SideEffects_Drugbank_2018-07-03_CLOUD_Only.gml,SideEffects_CLOUD_to_SIDER,ATC_SecondLevel,ATC_FirstLevel,Enzymes,Transporters,Carriers
CLOUD129,9,1,4,4,6,13,463,45,108,40,15,642,94,273,58,23,27.6,21.333333333333332,0.143591408591,0.158644753583,286,502,54,0,5,450,61,132,1,1,7,2,1
CLOUD130,9,3,3,3,4,6,508,81,336,34,15,549,91,367,37,21,693.75,465.1666666666667,0.081446041504,0.182502489208,250,267,64,0,0,0,65,0,1,1,3,0,0
CLOUD131,9,3,4,2,0,1,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,0,0,278,0,0,1,1,0,0,0
CLOUD132,10,5,2,3,3,9,413,21,121,35,14,555,60,209,50,24,53.333333333333336,24.22222222222222,0.111122589532,0.279801611201,258,449,51,0,17,229,50,89,1,1,5,1,0
CLOUD133,3,0,3,0,25,34,1457,139,633,133,43,1611,181,729,140,55,67.8,56.588235294117645,0.0943560888531,0.0999733006581,631,700,143,7,37,703,44,67,6,5,6,5,4
CLOUD134,9,4,2,3,14,21,753,51,184,78,5,851,97,308,92,12,24.857142857142858,19.904761904761905,0.0608584265015,0.0858631537185,139,245,33,0,45,410,76,176,1,1,5,2,2
CLOUD135,3,3,0,0,0,3,0,0,0,0,0,80,22,144,7,8,nan,10.333333333333334,nan,0.0721804511278,0,156,16,0,0,0,47,0,1,1,3,1,1
CLOUD136,6,0,3,3,10,16,623,69,326,51,6,741,79,463,54,14,175.3,115.9375,0.113253919526,0.153501803197,421,476,33,2,2,346,25,71,1,1,8,0,0
CLOUD137,9,3,6,0,1,2,19,19,5,14,1,60,32,29,17,7,2.0,7.5,0.0,0.0512820512821,27,46,9,0,7,304,7,26,1,1,1,0,0
CLOUD138,2,1,0,1,1,2,207,14,5,5,1,392,20,57,23,3,16.0,19.0,0.0666666666667,0.0766233766234,52,122,4,1,0,161,4,153,1,1,1,0,0
CLOUD139,5,3,2,0,15,26,1016,107,560,78,40,1140,139,763,91,48,232.93333333333334,146.24,0.0927511427074,0.0728035748728,615,657,108,1,49,723,59,268,1,1,9,7,1
CLOUD140,8,2,5,1,0,1,0,0,0,0,0,102,35,47,36,3,nan,233.0,nan,0.0602338315821,0,47,18,2,0,0,43,0,0,0,0,1,1
CLOUD141,16,3,5,8,22,44,966,168,723,108,17,1268,215,1024,129,31,79.22727272727273,58.77272727272727,0.0889550203741,0.120872799427,523,631,77,2,113,257,47,374,1,1,20,5,10
CLOUD142,12,3,5,4,17,27,928,118,452,86,23,1058,138,643,86,32,164.375,106.76923076923077,0.099001471423,0.123584140045,503,576,74,2,2,346,25,71,1,1,12,1,1
CLOUD143,28,0,15,13,29,32,1318,177,886,138,46,1391,194,946,140,54,247.3793103448276,221.96875,0.106055486865,0.105210234333,764,796,120,0,0,188,25,29,1,1,6,1,1
CLOUD144,12,4,3,5,5,14,464,59,155,37,10,586,81,408,48,22,163.75,61.38461538461539,0.0882369907766,0.236078985848,220,386,36,2,34,752,69,99,1,1,12,2,2
CLOUD145,3,0,0,3,15,16,183,26,351,69,2,183,26,364,69,2,12.083333333333334,11.461538461538462,0.0235352754825,0.0217248696761,233,233,8,0,0,120,8,94,1,1,1,0,0
CLOUD146,7,1,5,1,1,8,69,5,46,36,9,291,63,222,58,23,347.0,99.57142857142857,0.0311339141444,0.0790929878442,117,293,38,0,37,552,8,113,1,1,3,5,1
CLOUD147,10,3,3,4,8,11,239,35,232,48,5,250,48,316,48,5,23.125,17.363636363636363,0.0980396384213,0.086453070367,186,202,15,0,22,168,52,58,1,1,0,3,1
CLOUD148,9,2,5,2,7,14,295,24,114,9,5,374,60,211,36,5,110.57142857142857,70.5,0.0737056324698,0.0815353744166,45,82,22,3,97,368,36,118,1,1,2,8,5
CLOUD149,11,1,8,2,5,8,202,43,97,42,12,275,71,149,47,18,144.5,89.42857142857143,0.0609612332942,0.170070722464,197,269,26,0,13,167,119,98,1,1,2,1,0
CLOUD150,5,0,2,3,4,4,410,50,151,50,22,410,50,151,50,22,115.25,115.25,0.0810194858651,0.0810194858651,110,110,50,0,0,0,72,110,2,2,0,0,0
CLOUD151,4,2,0,2,2,8,212,40,86,28,0,280,52,156,31,8,553.0,162.28571428571428,0.0610888244521,0.203534535924,167,221,19,0,0,0,26,34,1,1,6,0,0
CLOUD152,3,0,2,1,21,30,548,71,620,59,27,639,108,737,68,34,206.52380952380952,154.89655172413794,0.100905640256,0.105918972427,298,438,87,0,10,288,33,47,1,1,8,14,4
CLOUD153,8,3,2,3,1,1,207,14,5,5,1,207,14,5,5,1,16.0,16.0,0.0666666666667,0.0666666666667,52,52,2,0,0,592,38,0,0,0,0,0,0
CLOUD154,8,1,3,4,0,16,0,0,0,0,0,251,84,304,43,16,nan,14.071428571428571,nan,0.0776313342979,0,208,22,1,85,398,6,112,1,1,9,9,2
CLOUD155,6,1,3,2,21,31,831,97,230,88,8,975,148,415,93,25,16.7,14.777777777777779,0.0732481683691,0.136976534908,344,480,51,1,68,678,56,316,1,1,11,4,1
CLOUD156,11,0,7,4,1,2,66,24,192,12,0,132,34,208,15,5,103.0,54.5,0.184656386827,0.192328193413,35,91,8,0,0,0,27,0,1,1,1,0,0
CLOUD157,6,2,3,1,2,3,49,20,27,9,0,76,31,44,13,1,9.0,7.0,0.579365079365,0.608465608466,31,81,6,0,0,0,4,39,1,1,1,0,0
CLOUD158,8,3,2,3,8,11,698,71,372,46,19,723,81,397,49,24,443.625,324.3636363636364,0.0622649089439,0.207787732645,374,398,68,0,0,0,13,0,1,1,3,0,0
CLOUD159,7,2,3,2,8,8,64,10,88,20,5,64,11,95,21,5,33.25,33.875,0.0950768643625,0.0831922563172,47,47,9,3,0,155,30,21,1,1,1,0,0
CLOUD160,4,1,3,0,13,26,846,102,515,111,23,1103,141,692,131,34,334.0769230769231,189.19230769230768,0.0834211620265,0.137282759511,297,516,84,1,0,0,24,37,7,4,12,6,1
CLOUD161,9,2,5,2,2,2,126,18,80,13,11,126,18,80,13,11,483.0,483.0,0.0642595122119,0.0642595122119,15,15,14,0,0,0,1,0,2,2,0,0,0
CLOUD162,8,2,3,3,0,1,0,0,0,0,0,131,17,23,8,3,nan,54.0,nan,0.083857442348,0,30,3,3,0,0,0,32,1,1,1,0,0
CLOUD163,4,0,0,4,4,20,327,82,99,51,7,516,131,428,80,19,60.0,33.44444444444444,0.0843764930721,0.162052548501,259,417,34,3,0,438,62,38,1,1,10,6,2
CLOUD164,4,1,2,1,2,3,96,11,114,9,0,133,23,137,12,6,144.5,100.66666666666667,0.167817089936,0.146066094145,20,38,12,0,34,582,7,214,1,1,1,0,0
CLOUD165,0,0,0,0,16,22,1051,123,474,103,41,1108,138,497,107,51,282.26666666666665,249.52941176470588,0.0931949189647,0.0939955167335,651,693,101,0,0,370,41,351,1,1,6,1,0
CLOUD166,0,0,0,0,4,13,310,54,134,43,48,596,87,427,60,51,84.25,42.07692307692308,0.147565744817,0.100960060085,142,394,114,1,0,0,37,43,2,1,5,2,4
CLOUD167,8,2,1,5,1,6,17,4,13,3,0,135,27,102,19,7,90.0,60.666666666666664,0.0122347066167,0.105570355526,16,179,12,0,0,0,63,0,1,1,3,1,2
CLOUD168,6,0,5,1,15,23,817,123,706,77,39,1073,143,931,99,52,184.66666666666666,129.6086956521739,0.0979615305528,0.141783860706,399,501,125,0,42,288,58,347,1,1,8,0,0
CLOUD169,13,4,4,5,24,33,1195,133,622,77,30,1312,171,693,93,37,174.33333333333334,131.4848484848485,0.0990415808538,0.096951028263,691,747,92,1,1,93,93,102,1,1,3,4,2
CLOUD170,8,2,3,3,3,8,420,44,120,44,3,507,65,207,49,14,33.0,23.428571428571427,0.0742665760117,0.115320609857,101,190,22,0,86,514,41,212,6,5,7,1,0
CLOUD171,9,3,3,3,2,14,250,47,124,17,2,422,86,321,49,11,118.0,41.07142857142857,0.12699112527,0.224971489504,122,365,24,0,35,317,63,42,1,1,17,2,2
CLOUD172,0,0,0,0,2,11,34,16,80,14,2,103,40,243,19,9,34.5,18.272727272727273,0.0384108867428,0.2516582228,95,224,21,0,2,236,44,60,1,1,10,3,2
CLOUD173,0,0,0,0,14,16,872,109,453,88,19,935,120,486,88,25,178.0,159.4,0.100100380773,0.101482033558,365,396,63,0,0,0,9,41,2,2,3,0,0
CLOUD174,0,0,0,0,31,36,1447,188,773,147,41,1507,216,829,150,48,150.53571428571428,129.06060606060606,0.0911976715939,0.0869742786295,705,726,112,0,0,0,0,49,1,1,2,3,1
CLOUD175,4,0,2,2,4,10,245,56,105,35,6,372,76,187,48,12,354.6666666666667,122.55555555555556,0.380181665281,0.359911321611,184,302,27,3,6,190,3,45,1,1,6,0,0
CLOUD176,0,0,0,0,5,7,140,32,121,15,7,205,48,237,23,7,47.4,43.5,0.0620766126392,0.0680587145122,149,178,8,0,47,1639,2,404,1,1,3,2,0
CLOUD177,3,0,1,2,1,3,408,23,61,17,3,454,47,93,26,7,176.0,90.0,0.0978571428571,0.132261904762,98,144,19,0,0,0,1,21,1,1,1,1,0
CLOUD178,14,2,7,5,14,16,630,96,549,61,36,679,112,637,66,36,202.0,190.13333333333333,0.0842148911872,0.0836559614633,547,549,82,0,47,1639,2,404,1,1,3,2,0
CLOUD179,15,3,3,9,5,7,169,11,234,26,6,233,22,296,29,9,23.4,24.0,0.088933712261,0.163701385151,139,178,21,4,38,541,4,110,1,1,2,0,0
CLOUD180,7,1,2,4,6,12,192,57,185,55,5,360,94,365,71,14,14.333333333333334,32.833333333333336,0.115548194496,0.147156930606,215,364,41,1,0,0,34,72,3,3,5,2,2
CLOUD181,9,5,3,1,3,9,149,43,29,33,0,203,55,92,36,6,24.666666666666668,13.11111111111111,0.0766782148896,0.320471899876,187,304,12,1,0,0,34,53,1,1,7,0,0
CLOUD182,8,0,4,4,3,4,185,44,99,13,19,238,53,115,16,24,200.33333333333334,151.75,0.117860023855,0.138395017891,145,187,45,0,0,0,10,21,1,1,1,0,0
CLOUD183,2,0,2,0,0,5,0,0,0,0,0,383,34,230,18,13,nan,18.2,nan,0.0958014208014,0,409,29,0,0,0,18,0,1,1,5,0,0
CLOUD184,9,2,4,3,21,23,366,71,437,96,11,405,83,469,98,18,19.5,17.95,0.0546058359444,0.101543165681,248,262,42,4,76,440,67,495,1,1,3,0,0
CLOUD185,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,0,25,375,0,50,1,1,0,0,0
CLOUD186,5,2,2,1,29,39,802,161,773,115,41,924,192,888,130,53,145.21428571428572,111.34210526315789,0.0916544100781,0.133165969421,372,545,101,2,0,0,53,0,0,0,9,2,1
CLOUD187,19,5,7,7,8,17,369,75,314,21,10,501,101,451,46,21,38.5,39.375,0.102310569281,0.199684990925,289,430,40,1,0,51,57,0,0,0,9,1,1
CLOUD188,0,0,0,0,4,6,50,21,71,41,1,93,39,130,45,7,43.0,32.333333333333336,0.103194375179,0.247743618541,77,160,15,0,58,414,41,24,1,1,2,1,1
CLOUD189,12,2,7,3,7,9,406,55,146,61,13,457,60,219,63,18,23.571428571428573,24.666666666666668,0.0641724524419,0.0651130735332,99,121,46,2,100,743,48,449,1,1,1,1,0
CLOUD190,0,0,0,0,1,1,18,3,26,0,2,18,3,26,0,2,6.0,6.0,0.133333333333,0.133333333333,23,23,3,0,0,89,0,54,1,1,0,0,0
CLOUD191,9,1,4,4,4,14,263,47,211,18,4,464,85,366,28,17,235.0,74.64285714285714,0.0554834270933,0.179357742985,189,311,27,2,0,194,6,218,1,1,10,2,0
CLOUD192,5,1,2,2,16,19,317,35,497,57,7,361,61,529,61,13,18.642857142857142,17.529411764705884,0.0433715645026,0.0442277216917,270,274,24,1,25,373,12,58,1,1,3,1,0
CLOUD193,0,0,0,0,36,39,1796,224,979,148,63,1831,241,1009,158,68,183.97142857142856,175.97368421052633,0.0968112689735,0.0937028932545,984,1017,149,0,0,0,33,0,3,2,2,2,1
CLOUD194,22,1,8,13,2,5,119,19,32,14,27,375,34,243,42,28,167.0,67.75,0.125099199192,0.108716155449,14,315,63,0,0,0,40,47,1,1,3,0,0
CLOUD195,10,5,1,4,10,12,857,97,459,70,26,867,104,472,77,27,395.7,331.3333333333333,0.0646957271865,0.0555470929168,549,556,63,3,0,0,2,0,1,1,2,0,0
CLOUD196,24,1,10,13,6,8,595,70,267,56,11,646,80,303,56,17,321.8333333333333,244.125,0.084662458392,0.0902062455034,259,291,51,4,0,384,66,375,2,1,2,0,0
CLOUD197,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,0,0,0,19,3,1,1,0,0,0
CLOUD198,10,2,3,5,8,20,353,32,135,38,5,597,112,318,60,15,37.5,21.45,0.0904663963487,0.17795607639,93,319,35,1,114,496,119,768,1,1,10,11,3
CLOUD199,18,2,6,10,4,10,379,21,67,14,22,499,57,160,25,30,5.0,11.1,0.0255952380952,0.149815388347,313,392,73,0,0,0,31,47,1,1,5,3,0
CLOUD200,8,2,4,2,18,23,174,25,173,37,1,340,47,315,66,11,10.875,10.523809523809524,0.128244058402,0.132156419412,186,358,32,1,12,292,46,19,1,1,5,1,1
CLOUD201,10,3,4,3,2,9,408,25,23,42,2,509,64,109,50,11,23.5,12.333333333333334,0.0569892473118,0.219299580875,97,217,21,1,0,0,28,0,1,1,6,2,0
CLOUD202,6,0,5,1,1,6,167,16,17,27,2,223,26,82,29,10,23.0,10.166666666666666,0.0909090909091,0.363503163503,60,177,20,1,0,0,59,37,1,1,5,0,0
CLOUD203,3,2,1,0,1,3,53,7,27,8,1,119,29,70,15,7,13.0,12.0,0.102564102564,0.192918192918,66,116,9,1,0,0,88,0,1,1,1,1,0
CLOUD204,10,3,3,4,13,16,400,40,146,40,5,502,72,177,49,6,22.76923076923077,20.375,0.0427332123011,0.0518688442383,197,233,22,0,10,217,0,53,1,1,0,3,0
CLOUD205,4,0,2,2,98,108,1955,216,1447,201,68,2057,238,1509,209,77,109.6082474226804,102.83177570093459,0.103371485386,0.114196464944,1042,1108,162,4,25,359,33,114,1,1,9,5,4
CLOUD206,12,6,2,4,5,8,507,44,122,25,7,566,79,157,31,15,34.8,25.625,0.079890155616,0.0778617501904,213,266,23,2,39,786,114,185,1,1,4,1,0
CLOUD207,7,1,5,1,2,1,22,6,91,1,2,22,6,91,1,2,20.0,20.0,0.0157894736842,0.0157894736842,25,25,2,2,0,0,2,50,2,2,0,0,0
CLOUD208,4,2,1,1,0,3,0,0,0,0,0,81,38,25,16,0,nan,25.0,nan,0.0165973984577,0,10,1,0,0,0,10,0,0,0,3,2,0
CLOUD209,44,1,13,30,12,15,911,85,431,69,39,975,107,503,76,41,228.41666666666666,185.26666666666668,0.101005026239,0.113608253795,618,630,90,0,6,336,35,166,1,1,2,1,0
CLOUD210,9,0,5,4,0,5,0,0,0,0,0,115,31,105,6,12,nan,16.25,nan,0.146111135242,0,110,14,0,86,514,41,212,6,5,7,1,0
CLOUD211,16,0,7,9,4,5,426,86,133,39,5,479,95,137,43,14,62.0,62.0,0.0829193959982,0.0829193959982,147,183,24,0,0,0,4,246,1,1,1,1,0
CLOUD212,4,1,1,2,2,10,310,59,81,5,5,449,73,246,23,16,108.5,33.9,0.0990589121024,0.162896042127,209,302,34,2,0,0,18,0,1,1,10,0,0
CLOUD213,13,5,4,4,3,12,403,44,138,51,3,671,76,328,74,19,17.666666666666668,32.75,0.0887864823349,0.142258017395,124,473,57,0,8,206,62,12,1,1,11,1,1
CLOUD214,0,0,0,0,6,6,499,62,300,21,9,499,62,300,21,9,241.33333333333334,241.33333333333334,0.0775398756347,0.0775398756347,353,353,21,1,0,0,0,0,1,1,0,0,0
CLOUD215,10,2,3,5,8,9,490,69,262,37,6,555,81,292,41,9,98.5,88.44444444444444,0.12399731795,0.118156346115,294,317,18,2,0,0,2,227,1,1,1,0,0
CLOUD216,7,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,1,0,0,3,0,1,1,0,0,0
CLOUD217,0,0,0,0,4,8,71,26,71,47,6,191,52,195,72,13,54.0,58.57142857142857,0.0534098213198,0.0425418102253,147,304,21,1,0,0,37,83,1,1,3,1,1
CLOUD218,7,3,1,3,13,14,807,108,648,63,36,819,116,657,65,41,396.0769230769231,368.7857142857143,0.0905662493567,0.0927314544655,524,528,97,0,25,337,7,62,1,1,1,0,0
CLOUD219,7,2,2,3,135,151,2282,222,1773,221,78,2365,259,1827,225,90,108.35074626865672,99.75675675675676,0.101755718335,0.113724884059,1149,1214,185,7,25,227,64,175,1,1,17,8,2
CLOUD220,6,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0
CLOUD221,3,1,1,1,17,34,799,125,593,65,22,968,168,799,88,35,299.6,158.7741935483871,0.0597118972488,0.13819797051,407,565,96,0,40,620,95,226,1,1,18,7,2
CLOUD222,16,3,5,8,4,7,125,38,99,24,1,205,53,151,27,8,34.333333333333336,20.833333333333332,0.104937216779,0.214007069928,97,197,14,0,19,576,47,54,1,1,3,0,0
CLOUD223,8,3,3,2,7,7,134,13,173,26,5,134,13,173,26,5,35.57142857142857,35.57142857142857,0.0451281065645,0.0451281065645,78,78,8,0,3,137,18,77,1,1,0,0,0
CLOUD224,6,3,2,1,2,5,125,24,44,17,1,327,61,171,34,5,4.5,14.4,0.0666666666667,0.0339393939394,17,96,13,0,0,0,0,0,1,1,2,1,0
CLOUD225,9,1,5,3,4,10,573,59,252,41,23,641,78,339,46,31,277.75,118.4,0.0793706233582,0.258070162724,397,471,63,0,23,369,10,158,1,1,6,0,0
CLOUD226,0,0,0,0,16,22,581,90,195,100,10,685,112,248,102,22,61.13333333333333,48.0,0.0871313832917,0.16549746281,295,400,40,0,41,641,143,37,2,1,8,1,0
CLOUD227,10,0,5,5,5,5,347,66,224,30,4,347,66,224,30,4,47.6,47.6,0.140417044146,0.140417044146,105,105,14,0,0,0,0,25,1,1,0,0,0
CLOUD228,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,0,0,0,0,0,1,1,0,0,0
CLOUD229,13,3,4,6,7,20,355,66,325,22,13,458,105,544,42,21,118.28571428571429,52.35,0.104374711376,0.106256574268,181,319,41,0,0,0,33,0,1,1,8,11,2
CLOUD230,0,0,0,0,2,5,310,59,81,5,5,538,73,291,37,9,108.5,94.4,0.0990589121024,0.128377905842,209,409,35,1,0,0,37,81,1,1,2,1,1
CLOUD231,11,1,4,6,3,8,464,36,146,40,17,557,66,212,57,18,520.0,226.25,0.0497950444271,0.0619158795634,205,310,41,0,0,0,1,0,0,0,2,5,1
CLOUD232,0,0,0,0,6,23,406,26,136,38,14,604,77,372,54,23,6.0,10.590909090909092,0.0587301587302,0.171753660529,286,485,58,0,59,1074,119,171,2,2,21,9,5
CLOUD233,10,2,3,5,3,7,55,14,166,9,0,97,37,191,13,0,20.0,12.0,0.147926093514,0.0694119348144,18,39,3,0,24,599,4,262,3,3,2,4,1
CLOUD234,7,2,3,2,123,132,2200,223,1705,195,71,2283,265,1742,202,85,92.35772357723577,87.38167938931298,0.126316220697,0.130492077406,1247,1336,173,2,0,0,83,210,1,1,9,4,2
CLOUD235,7,1,2,4,27,36,383,55,477,74,11,494,92,611,82,31,19.695652173913043,16.129032258064516,0.0340143933225,0.0654113642529,355,455,54,3,39,225,56,237,1,1,7,3,0
CLOUD236,7,0,3,4,1,1,104,12,49,44,12,104,12,49,44,12,41.0,41.0,0.0646341463415,0.0646341463415,182,182,24,0,22,687,2,340,1,1,0,0,0
CLOUD237,14,5,6,3,13,15,707,72,329,67,17,788,97,360,79,27,192.84615384615384,179.64285714285714,0.0819385452579,0.0862898736578,288,340,57,0,0,0,0,0,0,0,1,2,0
CLOUD238,7,4,1,2,3,4,234,48,90,30,3,269,57,113,33,9,359.0,272.5,0.0747895084183,0.0817331569547,175,183,18,0,0,0,14,80,4,4,1,0,0
CLOUD239,6,2,2,2,5,11,318,50,35,48,8,398,64,128,54,16,19.2,13.727272727272727,0.340496374835,0.345449518678,80,222,33,2,0,49,65,209,1,1,7,0,0
CLOUD240,5,1,4,0,2,4,93,32,10,35,2,177,51,64,50,3,10.5,71.5,0.0856227106227,0.0713555493419,134,262,9,3,0,0,25,0,1,1,1,1,1
CLOUD241,13,2,5,6,12,15,208,38,335,66,4,249,49,391,66,9,36.8,31.23076923076923,0.0323065209865,0.0398175800977,199,271,20,1,0,0,36,35,2,2,3,1,1
CLOUD242,3,0,2,1,1,6,6,6,32,0,6,130,26,172,29,12,2.0,15.166666666666666,0.0,0.0458550115936,13,261,20,1,0,0,0,46,1,1,5,0,0
CLOUD243,5,3,0,2,24,30,1358,170,606,142,23,1433,202,672,144,32,124.21739130434783,100.6896551724138,0.119240501076,0.121095623018,578,614,80,1,53,781,91,210,1,1,4,3,0
CLOUD244,0,0,0,0,7,34,324,67,287,47,6,519,143,618,76,14,247.83333333333334,64.06451612903226,0.0574846941844,0.103151686107,245,470,33,0,12,246,27,26,2,2,8,27,3
CLOUD245,0,0,0,0,3,10,276,60,91,32,1,396,82,212,38,14,516.6666666666666,160.7,0.0230552874999,0.223070432404,193,293,29,0,18,318,17,34,1,1,7,0,0
CLOUD246,10,4,2,4,5,7,307,31,195,53,20,333,51,241,55,21,108.2,80.28571428571429,0.0861644797498,0.0720723727537,187,234,74,3,46,462,38,198,1,1,2,2,1
CLOUD247,10,0,5,5,6,16,744,94,508,74,38,859,108,643,83,49,664.6666666666666,257.375,0.0694889862817,0.190486032172,410,473,108,2,0,0,18,0,1,1,12,0,0
CLOUD248,3,0,1,2,2,6,39,6,43,1,0,202,31,157,7,12,12.0,10.0,0.0606060606061,0.0869197469197,30,134,18,0,18,318,17,34,1,1,4,0,0
CLOUD249,0,0,0,0,18,45,889,134,414,84,19,1045,184,670,118,30,150.22222222222223,81.5,0.0813483303231,0.135993413851,374,576,58,2,93,364,87,283,1,1,29,9,1
CLOUD250,0,0,0,0,3,18,149,27,148,26,2,690,92,641,79,14,71.0,36.44444444444444,0.0620555617882,0.0717707470234,84,494,39,0,65,413,7,103,1,1,9,6,0
CLOUD251,0,0,0,0,21,34,975,129,498,118,25,1171,159,726,127,35,111.0,74.44117647058823,0.0880050534527,0.10531587973,281,453,99,5,27,407,96,74,1,1,15,1,0
CLOUD252,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,1,0,125,0,54,1,1,0,0,0
CLOUD253,0,0,0,0,1,3,43,6,28,15,2,75,22,110,16,3,67.0,30.0,0.0479421076436,0.0405421060566,68,146,8,1,0,330,3,86,1,1,1,2,1
CLOUD254,7,0,2,5,5,7,607,78,187,54,10,654,88,225,57,12,283.4,204.14285714285714,0.0821831031131,0.16981332762,308,344,34,0,0,0,24,0,1,1,2,0,0
CLOUD255,0,0,0,0,9,10,631,78,260,59,30,664,87,284,74,30,107.55555555555556,118.3,0.0834299169095,0.0778515416063,140,236,66,0,0,0,0,44,1,1,0,1,1
CLOUD256,2,1,1,0,7,11,941,73,175,77,37,1006,97,273,82,43,153.71428571428572,103.0,0.0675889074647,0.129940567756,477,587,99,2,0,0,57,0,1,1,4,1,1
CLOUD257,8,1,3,4,2,7,385,23,29,41,2,449,47,138,46,9,20.0,12.142857142857142,0.0653225806452,0.13908002015,98,201,21,0,60,364,63,148,1,1,5,1,1
CLOUD258,8,1,3,4,2,4,95,39,22,36,2,153,53,98,39,8,9.5,13.0,0.0987179487179,0.0934210526316,189,270,13,0,0,0,35,0,1,1,2,1,1
CLOUD259,10,1,3,6,0,1,0,0,0,0,0,30,12,41,9,4,nan,17.0,nan,0.00735294117647,0,72,8,0,0,0,0,0,0,0,1,0,0
CLOUD260,1,0,0,1,12,17,494,65,116,69,8,567,94,203,73,15,23.083333333333332,19.0,0.208937046202,0.162735518452,174,218,31,0,24,540,21,114,1,1,3,3,3
CLOUD261,10,3,4,3,5,6,136,43,32,27,3,163,46,62,35,3,19.75,21.4,0.102976190476,0.0855555555556,154,237,13,0,0,253,12,37,1,1,1,0,0
CLOUD262,9,1,3,5,16,25,986,76,380,90,10,1080,129,498,97,16,112.375,79.625,0.0699417506085,0.0929997890385,416,467,43,0,60,364,63,148,1,1,6,5,3
CLOUD263,4,1,2,1,1,2,78,14,17,6,2,97,25,25,9,7,7.0,4.5,0.0,0.5,14,42,11,0,0,0,1,0,1,1,1,0,0
CLOUD264,14,4,3,7,2,8,167,6,25,17,2,241,23,99,20,10,26.0,12.0,0.182180851064,0.223475615696,74,173,15,0,22,310,106,207,1,1,11,0,0
CLOUD265,2,0,1,1,0,3,0,0,0,0,0,61,28,121,12,1,nan,18.666666666666668,nan,0.0456211092247,0,57,1,0,13,237,18,151,1,1,2,2,0
CLOUD266,7,3,0,4,0,2,0,0,0,0,0,159,36,45,11,6,nan,79.0,nan,0.101728586171,0,189,16,4,0,0,24,0,0,0,1,1,0
CLOUD267,5,1,1,3,7,7,204,30,59,24,2,204,30,59,24,2,9.0,9.0,0.153526625704,0.153526625704,91,91,5,0,56,465,10,280,1,1,0,0,0
